post_id,Me gusta,Me encanta,Me enfada,Me importa,Me asombra,Me divierte,Me entristece
2699200243468705,146,15,,,,,
2703182889737107,96,4,,,,2,
2699188483469881,192,14,,,,,
2699178036804259,307,25,,,,,
2692884374100292,35,1,,,,,
2646668575388539,68,1,,,,,
2699278880127508,57,2,,,,,
2691498787572184,129,13,,,,,
2691181257603937,253,11,,,,1,
2675177195871010,65,2,,,,,
2691488537573209,101,4,,,,,
2691474117574651,225,20,,,,,
2691360430919353,77,2,,,,,
2691186674270062,117,1,,,,,
2697312213657508,98,6,,,,,
2688816987840364,38,,,,,1,
2691293307592732,169,16,,,,,
2691288414259888,347,16,,,,1,
2646658298722900,48,1,,,,,
2691097324278997,135,9,,,1,,
2691060270949369,88,9,,,1,,
2691185554270174,115,5,,,,,
2691103757611687,53,,,,,,
2691184264270303,168,9,,,,,
2688705287851534,254,10,,,,,
2686970751358321,123,1,,,,,
2688624221192974,250,15,,,,1,
2688631644525565,176,7,,,,,
2646645772057486,82,3,,,,1,
2687063584682371,105,12,,,,,
2667957823259614,173,7,,,,,
2683731605015569,"1,7&nbsp;mil",171,,,,10,
2683717321683664,230,6,,,,1,
2682755908446472,110,6,,,,,
2682632528458810,35,4,,,,,
2681067798615283,249,20,,,,,
2681063525282377,97,14,,,,,1
2674527765935953,74,4,,,,,
2678989392156457,304,33,,,,,
2646723375383059,69,1,,,,,
2667955986593131,84,3,,,,,
2441264286186527,,,,,,,
2674501002605296,61,1,,,,,
2674714782583918,155,13,,,,,
2674480049274058,330,29,,,,1,
2671371336251596,91,2,,,,,
2671358026252927,41,4,,,,,
2671386882916708,56,3,,,,,
2670116036377126,263,20,,,,1,
2670095706379159,108,4,,,,,
2665407873514609,103,3,,,,,
2667934796595250,41,2,,,,,
2665458660176197,69,3,,,,,
2646592045396192,96,3,,,,,
2663217650400298,151,6,,,,,
2663209313734465,57,5,,,,1,
2660272750694788,251,15,,,1,,
2648950111827052,98,7,,,,,
2624620760926654,446,37,,,,,
2648940671827996,102,10,,,,,
2646524688736261,84,,,,,,
2648929095162487,125,5,,,,,
2648857168503013,66,1,,,,,1
2649020381820025,174,11,,,,,
2647221111999952,111,6,,,,,
2648962035159193,126,11,,,,,
2647193935336003,232,13,,,,1,
1638622442946261,2,,,,,,
2646434648745265,68,3,,,,,
2616169551771775,10,,,,,,
2626193420769388,124,10,,,,,
2631450283577035,39,1,,,,,
2631236683598395,57,4,,,,,
2616126985109365,32,3,,,,,
2624612420927488,329,24,,,,1,
2616163335105730,50,5,,,,,
2631272443594819,208,8,,,,,
2630988803623183,163,10,,,,,
2626245514097512,188,14,,,,,
2631020890286641,33,,,,,,
2631005020288228,106,6,,,,,
2625318720856858,81,6,,,,,
2626510300737700,39,5,,,,,1
2611721202216610,85,13,,,,,
2616400208415376,179,15,,,,,
2620623204659743,57,4,,,,,2
2616271595094904,235,18,,,,,
2616064971782233,55,1,,,,,4
2600674293321301,261,15,,,,,
2597230076999056,153,6,,,,,
2614049345317129,63,7,,,,,3
2609607479094649,86,8,,,,,
2609635629091834,153,22,,,,1,
2597258736996190,46,1,,,,,
2605472566174807,79,3,,,,,
2602766946445369,245,12,,,,,
2602918423096888,54,2,,,,,
2602738053114925,87,8,,,,,
2599899826732081,283,20,,,,,
2599852863403444,286,46,,,,,
2598702106851853,305,34,,,,,
2594684717253592,158,16,,,,,
2596432880412109,260,25,,,,,
2586143508107713,101,5,,,,1,
644613039406275,7,1,,,,,
2586677828054281,104,6,,,,,
2586656111389786,99,5,,,1,,
2585995881455809,110,6,,,,,1
2586003721455025,114,5,,,,1,
2586637988058265,61,1,,,,,
2581934885195242,236,20,,,,2,
2578771412178256,357,34,,,2,,
2571950442860353,306,30,,,,1,
2578763595512371,227,18,,,,,
2578697528852311,139,7,,,,,
2556695054385892,144,11,,,,,2
2571970802858317,252,18,,,,,
2570056709716393,136,11,,,,1,
2556646384390759,105,11,,,,,
2569771573078240,150,7,,,,1,
2569930539729010,142,4,,,,,
2569918669730197,319,30,,,,,
2569373756451355,614,69,,,,,
2567047310017333,78,5,,,,,
2556354707753260,138,3,,,,,
2556829407705790,89,7,,,,,
2533607990027932,107,6,,,,,
2554319051290159,51,4,,,,,
2540590662662998,149,24,,,,,
2556554574399940,263,23,,,,,
2554262887962442,113,5,,,,,
2533508633371201,67,4,,,1,,
2556747541047310,165,12,,,,,
2552014041520660,48,2,,,,,
2554158267972904,60,12,,,,,
2540496712672393,77,12,,,,,
2533594156695982,196,22,,,,,
2524013450987386,233,20,,,,,
2533548516700546,239,11,,,,,
2524021754319889,38,2,,,,,
2523825347672863,127,5,,,,,
2523933690995362,212,17,,,,,
2540430169345714,76,8,,,,,
2533495096705888,85,8,,,,,
2523597181029013,71,3,,,,,
2540519822670082,54,3,,,,,
2523078091080922,36,,,,,,
2538215406233857,58,1,,,,1,
2523111371077594,92,4,,,,,
2522920251096706,239,21,,,,,
2519090708146327,378,46,,,,,
2519070344815030,103,9,,,,,
2519063434815721,282,25,,,,,1
2533713963350668,56,3,,,,1,
2519034754818589,287,30,,,,,
2519013858154012,224,13,,,,2,
2531481186907279,152,8,,,,,
2518955201493211,613,51,,,12,,
2518885168166881,253,31,,,,,
2518799394842125,216,21,,,,,
2504781816243883,107,6,,,,,
2518781574843907,213,16,,,,,
2522966114425453,"2,1&nbsp;mil",396,,,,160,
2518736681515063,365,41,,,,,
2518567434865321,254,37,,,,,
2518629274859137,162,11,,,,,
2510946605627404,479,61,,,,1,
2510432615678803,94,2,,,,,
2504827366239328,259,24,,,,,
2489681997753865,276,15,,,1,,
2489546391100759,219,26,,,,1,
2488146877907377,45,6,,,,,
2489976771057721,49,7,,,,,
2489504597771605,72,5,,,,,
2460116987377033,40,1,,,,,
2488118591243539,217,15,,,,2,
2488701844518547,54,8,,,,,
2491963190859079,200,8,,,,,
