post_id,Me gusta,Me encanta,Me enfada,Me importa,Me asombra,Me divierte,Me entristece
2775618849160177,52.0,3.0,,,,,
2771771919544870,124.0,7.0,,,,,
2771761812879214,178.0,17.0,,,,,
2771756829546379,110.0,9.0,,,,,
2771748242880571,45.0,4.0,,,,,
null,82.0,9.0,,,,,
2775551812500214,45.0,3.0,,,,,
2771718726216856,173.0,14.0,,,,,
2771740646214664,1.0,372.0,,,,356.0,
2771726279549434,161.0,46.0,,,,6.0,
2771698449552217,78.0,3.0,,,,,
2771694519552610,164.0,16.0,,,,,
2771631999558862,69.0,6.0,,,,,
2771578976230831,110.0,25.0,,,,,
2771589719563090,115.0,7.0,,,,,
2771550836233645,89.0,7.0,,,,,
2771292642926131,1.0,60.0,,,,41.0,
2770752622980133,160.0,7.0,,,,,
2770745119647550,82.0,5.0,,,,,
2769283189793743,108.0,4.0,,,,,
2750790328309696,110.0,6.0,,,,,
2750787818309947,83.0,5.0,,,,,
2750782341643828,39.0,1.0,,,,,
2750779411644121,161.0,10.0,,,,,
2760585623996833,69.0,4.0,,,,,
2750775084977887,117.0,4.0,,,,,
2764443200277742,65.0,7.0,,,,,
2750755858313143,248.0,27.0,,,,,
2750751808313548,231.0,22.0,,,,,
2675041992551197,24.0,,,,1.0,,
2750746144980781,133.0,9.0,,,,,
2760796017309127,214.0,18.0,,,,,
2750743324981063,187.0,31.0,,,,,
2750736658315063,220.0,16.0,,,,,
2750720221650040,53.0,,,,,,
2750722358316493,72.0,1.0,,,,,
2750717261650336,29.0,2.0,,,,,
2750707234984672,201.0,22.0,,,1.0,,
2750705518318177,40.0,2.0,,,,,
2750691228319606,255.0,30.0,,,,,
2743915318997197,58.0,1.0,,,,,
2742474605807935,149.0,10.0,,,,,
2742473035808092,368.0,59.0,,,1.0,,
2675036942551702,45.0,,,,,,
2742470502475012,86.0,5.0,,,,,
2742450259143703,124.0,5.0,,,,1.0,
2742280999160629,98.0,8.0,,,,,
2742299329158796,225.0,59.0,,,,,
2742253229163406,109.0,3.0,,,,1.0,
2742249415830454,120.0,11.0,,,,,
2743898278998901,67.0,8.0,,,1.0,,
2742219052500157,112.0,8.0,,,,,
2742208642501198,162.0,23.0,,,,,
2742184052503657,28.0,1.0,,,,,
2741967829191946,264.0,33.0,,,,,
2742175679171161,70.0,9.0,,,1.0,,
2741936199195109,104.0,6.0,,,,,
2741918522530210,237.0,31.0,,,,,
2741909875864408,546.0,57.0,,,1.0,,
2741914515863944,201.0,15.0,,,,,
2729611750427554,334.0,49.0,,,,2.0,
2729227040466025,79.0,4.0,,,,,
2729218147133581,467.0,54.0,,,,,
2729116163810446,251.0,26.0,,,,,
2719299144792148,52.0,4.0,,,,,
2729112650477464,193.0,19.0,,,,,
2729110060477723,1.0,195.0,,,,6.0,
2731427746912621,81.0,24.0,,,,1.0,
2729101427145253,579.0,119.0,,,,,
2729098353812227,17.0,3.0,,,53.0,,
2675022489219814,54.0,2.0,,,,1.0,
2729048390483890,888.0,199.0,,,,1.0,
2729044840484245,142.0,17.0,,,,,
2729081327147263,252.0,17.0,,,,,
2729078580480871,24.0,,,,,,
2729049750483754,270.0,62.0,,,,17.0,
